(1629633295.622000) can0  442#02
(1629633295.622000) can0  5C2#000BFFF7FFA2
(1629633295.623000) can0  462#01010E690B05
(1629633295.626000) can0  5A2#00A3FFF900AE
(1629633295.626000) can0  482#28EA
(1629633295.627000) can0  5C2#000BFFF7FF9F
(1629633295.630000) can0  5A2#0096FFF500AE
(1629633295.631000) can0  482#28B6
(1629633295.631000) can0  5C2#000BFFF7FF9F
(1629633295.632000) can0  442#02
(1629633295.632000) can0  462#01010E690AF7
(1629633295.634000) can0  5A2#009EFFFE00AB
(1629633295.636000) can0  482#28A9
(1629633295.636000) can0  5C2#000BFFF6FF9F
(1629633295.639000) can0  5A2#009D000000B1
(1629633295.640000) can0  5C2#000BFFF6FFA1
(1629633295.641000) can0  482#28C3
(1629633295.642000) can0  442#02
(1629633295.642000) can0  462#01010E690B05
(1629633295.643000) can0  5A2#00A2000000B6
(1629633295.645000) can0  5C2#000CFFF5FF9F
(1629633295.646000) can0  482#28B6
(1629633295.648000) can0  5A2#00AEFFFB00AE
(1629633295.649000) can0  5C2#000BFFF6FFA1
(1629633295.651000) can0  482#28EA
(1629633295.651000) can0  442#03
(1629633295.652000) can0  5A2#0097FFF600B0
(1629633295.653000) can0  462#01010E690AF7
(1629633295.654000) can0  5C2#000BFFF6FFA1
(1629633295.656000) can0  482#28D0
(1629633295.657000) can0  5A2#00A5FFF900B3
(1629633295.658000) can0  5C2#000BFFF7FFA2
(1629633295.661000) can0  482#28A9
(1629633295.661000) can0  5A2#00AEFFFB00AC
(1629633295.662000) can0  442#03
(1629633295.662000) can0  5C2#000BFFF7FF9F
(1629633295.663000) can0  462#01010E770B05
(1629633295.666000) can0  482#28A9
(1629633295.666000) can0  5A2#00B1FFF900AE
(1629633295.667000) can0  5C2#000BFFF7FF9E
(1629633295.669000) can0  682#00000000
(1629633295.669000) can0  562#00000000
(1629633295.670000) can0  5A2#00AAFFF600AF
(1629633295.671000) can0  482#28C3
(1629633295.671000) can0  642#00BC9B46
(1629633295.671000) can0  5C2#000BFFF7FF9F
(1629633295.672000) can0  442#02
(1629633295.672000) can0  522#004EB546
(1629633295.672000) can0  462#01010E690B05
(1629633295.675000) can0  5A2#009DFFF000B1
(1629633295.676000) can0  482#2904
(1629633295.676000) can0  5C2#000BFFF7FFA0
(1629633295.679000) can0  5A2#00B2000000B5
(1629633295.680000) can0  5C2#000CFFF6FFA0
(1629633295.681000) can0  482#2938
(1629633295.682000) can0  442#03
(1629633295.683000) can0  462#01010E770B13
(1629633295.684000) can0  5A2#00A5FFF900B4
(1629633295.685000) can0  5C2#000CFFF6FFA0
(1629633295.686000) can0  482#2904
(1629633295.688000) can0  5A2#009CFFF600AE
(1629633295.690000) can0  5C2#000BFFF6FFA2
(1629633295.691000) can0  482#28B6
(1629633295.691000) can0  442#02
(1629633295.693000) can0  462#01010E840B05
(1629633295.693000) can0  5A2#00ABFFF800B1
(1629633295.694000) can0  5C2#000BFFF6FFA1
(1629633295.696000) can0  482#28EA
(1629633295.697000) can0  5A2#009DFFF600AE
(1629633295.698000) can0  5C2#000BFFF7FFA0
(1629633295.701000) can0  482#28F7
(1629633295.702000) can0  442#02
(1629633295.702000) can0  5A2#0095FFF600B0
(1629633295.703000) can0  462#01010E920B13
(1629633295.703000) can0  5C2#000BFFF7FF9F
(1629633295.706000) can0  482#2882
(1629633295.706000) can0  5A2#00A0FFFE00B2
(1629633295.707000) can0  5C2#000BFFF7FF9F
(1629633295.711000) can0  5A2#00A2FFFD00B8
(1629633295.711000) can0  482#28EA
(1629633295.712000) can0  442#02
(1629633295.712000) can0  5C2#000BFFF7FFA0
(1629633295.712000) can0  462#01010E840B13
(1629633295.715000) can0  5A2#00AFFFFE00BA
(1629633295.716000) can0  482#2904
(1629633295.716000) can0  5C2#000BFFF7FF9F
(1629633295.722000) can0  5A2#0093FFFD00B4
(1629633295.722000) can0  462#01010EAD0B2E
(1629633295.724000) can0  5A2#00ADFFFE00B1
(1629633295.725000) can0  5C2#000BFFF6FFA1
(1629633295.726000) can0  482#28D0
(1629633295.728000) can0  5A2#0097FFED00AC
(1629633295.730000) can0  5C2#000BFFF6FFA0
(1629633295.731000) can0  482#289C
(1629633295.732000) can0  442#02
(1629633295.733000) can0  462#01010E920B20
(1629633295.733000) can0  5A2#00A5FFF200B4
(1629633295.734000) can0  5C2#000BFFF7FFA1
(1629633295.736000) can0  482#28A9
(1629633295.737000) can0  5A2#00BAFFF700B7
(1629633295.739000) can0  5C2#000BFFF7FF9F
(1629633295.741000) can0  482#28D0
(1629633295.742000) can0  442#02
(1629633295.742000) can0  5A2#00A9FFFA00B6
(1629633295.742000) can0  462#01010E920B20
(1629633295.743000) can0  5C2#000BFFF7FF9F
(1629633295.746000) can0  482#28B6
(1629633295.746000) can0  5A2#00B8FFEA00AC
(1629633295.748000) can0  5C2#000BFFF6FF9C
(1629633295.751000) can0  482#28B6
(1629633295.751000) can0  5A2#00B1FFE900A7
(1629633295.752000) can0  442#03
(1629633295.752000) can0  5C2#000BFFF7FFA0
(1629633295.753000) can0  462#01010EAD0B20
(1629633295.755000) can0  5A2#00BAFFF200A9
(1629633295.756000) can0  482#28EA
(1629633295.756000) can0  5C2#000BFFF6FFA0
(1629633295.760000) can0  5A2#0094FFF200B7
(1629633295.761000) can0  482#28EA
(1629633295.761000) can0  5C2#000BFFF7FFA2
(1629633295.761000) can0  442#03
(1629633295.763000) can0  462#01010E9F0B2E
(1629633295.764000) can0  5A2#00A5FFEA00AE
(1629633295.765000) can0  5C2#000BFFF6FFA1
(1629633295.766000) can0  482#28D0
(1629633295.769000) can0  5A2#00AEFFEE00AB
(1629633295.769000) can0  682#00000000
(1629633295.769000) can0  562#00000000
(1629633295.770000) can0  5C2#000BFFF7FFA3
(1629633295.771000) can0  482#2904
(1629633295.771000) can0  642#00B09B46
(1629633295.772000) can0  442#03
(1629633295.772000) can0  522#0052B546
(1629633295.773000) can0  462#01010E9F0B3B
(1629633295.773000) can0  5A2#00ABFFF400B3
(1629633295.774000) can0  5C2#000BFFF6FF9F
(1629633295.776000) can0  482#28C3
(1629633295.778000) can0  5A2#00A1FFF400AF
(1629633295.779000) can0  5C2#000BFFF6FF9F
(1629633295.781000) can0  482#28A9
(1629633295.782000) can0  442#02
(1629633295.782000) can0  5A2#00A8000000B3
(1629633295.782000) can0  462#01010ED60B49
(1629633295.783000) can0  5C2#000BFFF6FF9C
(1629633295.786000) can0  482#28EA
(1629633295.787000) can0  5A2#00ABFFF900B6
(1629633295.788000) can0  5C2#000BFFF7FF9D
(1629633295.791000) can0  482#28DD
(1629633295.791000) can0  5A2#00ACFFF500B0
(1629633295.792000) can0  442#02
(1629633295.792000) can0  5C2#000CFFF7FF9E
(1629633295.793000) can0  462#01010EC80B56
(1629633295.796000) can0  482#28DD
(1629633295.796000) can0  5A2#00AB000000AF
(1629633295.797000) can0  5C2#000BFFF7FFA0
(1629633295.800000) can0  5A2#00A5000700B6
(1629633295.802000) can0  482#28D0
